"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"TUNING_FORK,-0.006520271,-0.015472412,0.188297101,0.035455798,0.034371567,0.029215832"
"TUNING_FORK,-0.005286336,-0.001922607,0.180445081,0.032560427,0.033588196,0.028549966"
"TUNING_FORK,0.001047611,0.004440308,0.18236745,0.033257887,0.032837429,0.027911815"
"TUNING_FORK,0.011430264,0.02116394,0.190037089,0.036114095,0.031821532,0.027048302"
"TUNING_FORK,0.007477999,0.021316528,0.190692477,0.036363621,0.03091783,0.026280156"
"TUNING_FORK,-0.00586617,-0.010177612,0.188952988,0.035703232,0.030358136,0.025804416"
"TUNING_FORK,-0.009196758,-0.019042969,0.190386481,0.036247012,0.029637232,0.025191647"
"TUNING_FORK,0.003667235,0.009689331,0.188200618,0.035419473,0.029118568,0.024750783"
"TUNING_FORK,0.012893915,0.024215698,0.188341804,0.035472635,0.028519391,0.024241482"
"TUNING_FORK,-0.000734568,0.007232666,0.180856954,0.032709238,0.027783781,0.023616214"
"TUNING_FORK,-0.006467938,-0.00932312,0.185597538,0.034446446,0.027220593,0.023137504"
"TUNING_FORK,-0.007910848,-0.012542725,0.182890225,0.033448834,0.026743055,0.022731596"
"TUNING_FORK,0.002318621,0.009414673,0.178606638,0.031900331,0.026223112,0.022289645"
"TUNING_FORK,0.010940313,0.020141602,0.177860517,0.031634364,0.025766628,0.021901634"
"TUNING_FORK,0.000942826,0.006774902,0.175518525,0.030806753,0.025350824,0.0215482"
"TUNING_FORK,-0.006534338,-0.012451172,0.181729507,0.033025614,0.024978033,0.021231328"
"TUNING_FORK,-0.009627938,-0.017532349,0.180349426,0.032525915,0.024751926,0.021039137"
"TUNING_FORK,0.002993822,0.013244629,0.181234689,0.032846013,0.024274186,0.020633058"
"TUNING_FORK,0.010885,0.020004272,0.188022815,0.035352579,0.023832551,0.020257668"
"TUNING_FORK,-0.000768423,0.009155273,0.182081094,0.033153525,0.023405131,0.019894362"
"TUNING_FORK,-0.005860329,-0.012283325,0.186844201,0.034910755,0.023026192,0.019572264"
"TUNING_FORK,-0.008052945,-0.013916016,0.183829874,0.033793423,0.022849027,0.019421673"
"TUNING_FORK,0.000478506,0.000244141,0.179822492,0.032336129,0.022546861,0.019164832"
"TUNING_FORK,0.006880879,0.018051147,0.184498283,0.034039616,0.022339767,0.018988802"
"TUNING_FORK,0.007647157,0.01776123,0.175319557,0.030736947,0.022077118,0.018765551"
"TUNING_FORK,-0.008435369,-0.015792847,0.181529136,0.032952827,0.021837744,0.018562082"
"TUNING_FORK,-0.008710027,-0.004959106,0.186690633,0.034853392,0.021632256,0.018387418"
"TUNING_FORK,-0.001503587,0.000854492,0.177657639,0.031562237,0.021403644,0.018193097"
"TUNING_FORK,0.010616779,0.027069092,0.17363917,0.030150561,0.021245819,0.018058946"
"TUNING_FORK,0.001826406,0.013931274,0.169548741,0.028746776,0.021182666,0.018005266"
"TUNING_FORK,0.000426054,0.000274658,0.166564114,0.027743604,0.021095382,0.017931074"
